Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Springboot HTTP 1.1 100 users:bzm - HTTP2 Sampler,100,13,12,24,2.43,0.000%,2.02028,4.96,0.00,2514.0
TOTAL,100,13,12,24,2.43,0.000%,2.02028,4.96,0.00,2514.0
