Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,10,11,12,12,14,8,28,0.000%,99.99900,239.23,0.00
TOTAL,10000,10,11,12,12,14,8,28,0.000%,99.99900,239.23,0.00
