Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,12,11,16,17,21,8,31,0.000%,20.15926,51.76,0.00
TOTAL,1000,12,11,16,17,21,8,31,0.000%,20.15926,51.76,0.00
