Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,12,12,14,14,24,8,39,0.000%,100.00300,239.66,0.00
TOTAL,10000,12,12,14,14,24,8,39,0.000%,100.00300,239.66,0.00
