Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Java HTTP 2 1000 users:bzm - HTTP2 Sampler,10000,9,6,22,1.57,0.000%,100.00000,256.74,0.00,2629.0
TOTAL,10000,9,6,22,1.57,0.000%,100.00000,256.74,0.00,2629.0
