Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,9,9,12,15,19,6,36,0.000%,20.16007,49.49,0.00
TOTAL,1000,9,9,12,15,19,6,36,0.000%,20.16007,49.49,0.00
