Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,10,10,13,14,18,7,25,0.000%,20.16576,51.77,0.00
TOTAL,1000,10,10,13,14,18,7,25,0.000%,20.16576,51.77,0.00
