Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,11,12,13,14,24,8,31,0.000%,99.99100,239.21,0.00
TOTAL,10000,11,12,13,14,24,8,31,0.000%,99.99100,239.21,0.00
