Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,9,9,11,12,15,7,30,0.000%,20.16861,51.78,0.00
TOTAL,1000,9,9,11,12,15,7,30,0.000%,20.16861,51.78,0.00
