Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,10,11,13,14,17,7,36,0.000%,99.97201,239.58,0.00
TOTAL,10000,10,11,13,14,17,7,36,0.000%,99.97201,239.58,0.00
