Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,12,12,15,16,24,10,28,0.000%,20.14586,48.19,0.00
TOTAL,1000,12,12,15,16,24,10,28,0.000%,20.14586,48.19,0.00
