Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,9,10,11,12,16,7,32,0.000%,99.98800,245.48,0.00
TOTAL,10000,9,10,11,12,16,7,32,0.000%,99.98800,245.48,0.00
