Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,11,10,13,17,32,7,44,0.000%,100.00000,245.51,0.00
TOTAL,10000,11,10,13,17,32,7,44,0.000%,100.00000,245.51,0.00
