Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,13,13,16,18,22,10,37,0.000%,99.96301,239.56,0.00
TOTAL,10000,13,13,16,18,22,10,37,0.000%,99.96301,239.56,0.00
