Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,10,11,12,13,14,8,16,0.000%,20.15885,48.31,0.00
TOTAL,1000,10,11,12,13,14,8,16,0.000%,20.15885,48.31,0.00
