Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,11,11,13,14,16,8,19,0.000%,20.15804,48.22,0.00
TOTAL,1000,11,11,13,14,16,8,19,0.000%,20.15804,48.22,0.00
