Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,8,9,10,11,13,5,20,0.000%,100.02200,256.79,0.00
TOTAL,10000,8,9,10,11,13,5,20,0.000%,100.02200,256.79,0.00
