Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,9,9,11,12,13,6,18,0.000%,100.01500,256.78,0.00
TOTAL,10000,9,9,11,12,13,6,18,0.000%,100.01500,256.78,0.00
