Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,10,10,12,13,15,7,21,0.000%,99.97101,256.66,0.00
TOTAL,10000,10,10,12,13,15,7,21,0.000%,99.97101,256.66,0.00
