timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719071346690,13,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,13,0,1
1719071346703,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071346714,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071346725,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071346735,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071346746,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071346756,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071346767,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071346778,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071346788,12,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-1,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,12,0,1
1719071347198,13,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,13,0,1
1719071347211,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,12,0,0
1719071347223,13,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,13,0,0
1719071347236,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347247,12,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,12,0,0
1719071347259,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,12,0,0
1719071347271,15,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,16,0,0
1719071347287,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347298,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347309,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-2,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347705,15,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,15,0,0
1719071347720,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347731,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347742,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347753,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071347764,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071347774,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347785,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071347796,9,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071347806,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-3,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348190,13,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,13,0,0
1719071348204,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348215,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348226,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348237,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348248,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348259,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071348269,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348280,15,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,15,0,0
1719071348295,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-4,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348692,13,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,13,0,1
1719071348705,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348716,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
1719071348727,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071348737,11,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,1
1719071348748,10,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,10,0,0
1719071348759,9,bzm - HTTP2 Sampler,200,OK,Ballerina HTTP 1.1 100 users 1-5,text,true,,2454,0,1,1,http://localhost:9090/users/getAllUsers,11,0,0
