Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,9,10,11,12,15,7,19,0.000%,100.01600,239.27,0.00
TOTAL,10000,9,10,11,12,15,7,19,0.000%,100.01600,239.27,0.00
