Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,12,12,14,16,23,8,34,0.000%,99.98000,239.18,0.00
TOTAL,10000,12,12,14,16,23,8,34,0.000%,99.98000,239.18,0.00
