Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
bzm - HTTP2 Sampler,100,25,18,152,13.52,0.000%,2.02253,4.75,0.00,2405.0
TOTAL,100,25,18,152,13.52,0.000%,2.02253,4.75,0.00,2405.0
