Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ballerina HTTP 1.1 500 users:bzm - HTTP2 Sampler,500,21,17,38,2.43,0.000%,5.00902,11.97,0.00,2448.0
TOTAL,500,21,17,38,2.43,0.000%,5.00902,11.97,0.00,2448.0
