Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Springboot HTTP 2 2915 users:bzm - HTTP2 Sampler,2915,27,4,246,21.62,8.027%,58.81997,144.49,0.00,2515.4
TOTAL,2915,27,4,246,21.62,8.027%,58.81997,144.49,0.00,2515.4
