Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ballerina HTTP 1.1 100 users:bzm - HTTP2 Sampler,100,23,17,34,4.18,0.000%,2.01935,4.83,0.00,2448.0
TOTAL,100,23,17,34,4.18,0.000%,2.01935,4.83,0.00,2448.0
