Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
bzm - HTTP2 Sampler,500,17,14,51,2.57,0.000%,5.00947,12.30,0.00,2514.0
TOTAL,500,17,14,51,2.57,0.000%,5.00947,12.30,0.00,2514.0
