Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
bzm - HTTP2 Sampler,500,19,15,143,6.59,0.000%,5.00937,11.77,0.00,2405.0
TOTAL,500,19,15,143,6.59,0.000%,5.00937,11.77,0.00,2405.0
