Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
bzm - HTTP2 Sampler,100,23,17,116,10.08,0.000%,2.02224,4.96,0.00,2514.0
TOTAL,100,23,17,116,10.08,0.000%,2.02224,4.96,0.00,2514.0
