Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ballerina HTTP 1.1 1000 users:bzm - HTTP2 Sampler,10000,9,7,18,1.07,0.000%,100.00600,239.66,0.00,2454.0
TOTAL,10000,9,7,18,1.07,0.000%,100.00600,239.66,0.00,2454.0
