Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
Stress Springboot HTTP 1.1 2915 users:bzm - HTTP2 Sampler;2915;27;30;56;63;77;4;248;21.40;8.096;58.62714;144.01;0.00;2515.4
TOTAL;2915;27;30;56;63;77;4;248;21.40;8.096;58.62714;144.01;0.00;2515.4
