Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Stress Springboot HTTP 2 5900 users:bzm - HTTP2 Sampler,5900,28,3,295,33.61,7.695,124.60245,294.96,0.00,2515.0
TOTAL,5900,28,3,295,33.61,7.695,124.60245,294.96,0.00,2515.0
