Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
Stress Ballerina HTTP 1.1 2915 users:bzm - HTTP2 Sampler;2915;38;74;85;82;105;3;412;31.13;8.199;58.83065;141.03;0.00;2454.8
TOTAL;2915;38;74;85;82;105;3;412;31.13;8.199;58.83065;141.03;0.00;2454.8
