Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
Stress Springboot HTTP 2 2915 users:bzm - HTTP2 Sampler;2915;27;30;56;64;78;4;246;21.62;8.027;58.81997;144.49;0.00;2515.4
TOTAL;2915;27;30;56;64;78;4;246;21.62;8.027;58.81997;144.49;0.00;2515.4
