Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Stress Ballerina HTTP 1.1 5900 users:bzm - HTTP2 Sampler,5900,39,3,307,39.49,7.695%,124.64087,298.75,0.00,2454.4
TOTAL,5900,39,3,307,39.49,7.695%,124.64087,298.75,0.00,2454.4
