Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,11,11,13,15,18,7,29,0.000%,99.99600,239.22,0.00
TOTAL,10000,11,11,13,15,18,7,29,0.000%,99.99600,239.22,0.00
