Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ballerina HTTP 2 1000 users:bzm - HTTP2 Sampler,10000,11,7,29,1.77,0.000%,99.99600,239.22,0.00,2449.7
TOTAL,10000,11,7,29,1.77,0.000%,99.99600,239.22,0.00,2449.7
