Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Java HTTP 2 100 users:bzm - HTTP2 Sampler,1000,9,7,26,2.03,0.000%,20.15763,49.49,0.00,2514.0
TOTAL,1000,9,7,26,2.03,0.000%,20.15763,49.49,0.00,2514.0
