Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ballerina HTTP 2 100 users:bzm - HTTP2 Sampler,100,14,12,20,1.33,0.000%,2.01967,4.75,0.00,2409.0
TOTAL,100,14,12,20,1.33,0.000%,2.01967,4.75,0.00,2409.0
