Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ballerina HTTP 2 500 users:bzm - HTTP2 Sampler,500,13,10,28,1.53,0.000%,5.00992,11.79,0.00,2409.0
TOTAL,500,13,10,28,1.53,0.000%,5.00992,11.79,0.00,2409.0
