Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,10,10,12,14,16,7,24,0.000%,100.00800,239.67,0.00
TOTAL,10000,10,10,12,14,16,7,24,0.000%,100.00800,239.67,0.00
