Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,11,11,13,15,17,8,23,0.000%,20.15398,48.21,0.00
TOTAL,1000,11,11,13,15,17,8,23,0.000%,20.15398,48.21,0.00
