Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,13,13,15,17,24,11,28,0.000%,20.15113,48.29,0.00
TOTAL,1000,13,13,15,17,24,11,28,0.000%,20.15113,48.29,0.00
