Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Java HTTP 1.1 1000 users:bzm - HTTP2 Sampler,10000,9,7,32,1.18,0.000%,100.00700,245.52,0.00,2514.0
TOTAL,10000,9,7,32,1.18,0.000%,100.00700,245.52,0.00,2514.0
