Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,10,10,12,13,15,8,21,0.000%,20.15763,51.75,0.00
TOTAL,1000,10,10,12,13,15,8,21,0.000%,20.15763,51.75,0.00
