Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,12,12,14,17,23,9,26,0.000%,20.15154,48.29,0.00
TOTAL,1000,12,12,14,17,23,9,26,0.000%,20.15154,48.29,0.00
