Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Springboot HTTP 1.1 100 users:bzm - HTTP2 Sampler,100,13,11,21,1.39,0.000%,2.01983,4.96,0.00,2514.0
TOTAL,100,13,11,21,1.39,0.000%,2.01983,4.96,0.00,2514.0
