Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Springboot HTTP 2 100 users:bzm - HTTP2 Sampler,100,12,11,17,0.99,0.000%,2.01992,5.18,0.00,2627.0
TOTAL,100,12,11,17,0.99,0.000%,2.01992,5.18,0.00,2627.0
