Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,10000,12,12,15,17,25,9,117,0.000%,99.97900,239.60,0.00
TOTAL,10000,12,12,15,17,25,9,117,0.000%,99.97900,239.60,0.00
