Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
bzm - HTTP2 Sampler,1000,10,10,13,15,18,8,33,0.000%,20.15723,48.31,0.00
TOTAL,1000,10,10,13,15,18,8,33,0.000%,20.15723,48.31,0.00
